park,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
MAGIC KINGDOM,"16,640,000","17,060,000","17,063,000",17233000,16972000,17142000,17536000,18588000,19332000,20492000
TOKYO DISNEYLAND,"12,900,000","13,906,000","14,293,000",13646000,14452000,13683000,14847000,17214000,17300000,16600000
DISNEYLAND,"14,730,000","14,870,000","14,721,000",15900000,15980000,16140000,15963000,16202000,16769000,18278000
TOKYO DISNEY SEA,"12,100,000","12,413,000","12,498,000",12004000,12663000,11664000,12656000,14084000,14100000,13600000
UNIVERSAL STUDIOS JAPAN,"8,500,000","8,713,000","8,300,000",8000000,8160000,8500000,9700000,10100000,11800000,16600000
EPCOT ,"10,460,000","10,930,000","10,935,000",10990000,10825000,10825000,11063000,11229000,11454000,11798000
DISNEY ANIMAL KINGDOM ,"8,910,000","9,490,000","9,540,000",9590000,9686000,9783000,9998000,10198000,10402000,10922000
DISNEY HOLLYWOOD STUDIOS,"9,100,000","9,510,000","9,608,000",9700000,9603000,9699000,9912000,10110000,10312000,10828000
DISNEYLAND PARIS,"10,600,000","12,000,000","12,688,000",12740000,10500000,10990000,11200000,10430000,9940000,10360000
DISNEY CALIFORNIA ADVENTURE,"5,950,000","5,680,000","5,566,000",6050000,6278000,6341000,7775000,8514000,8769000,9383000
UNIVERSAL STUDIOS FL,"6,000,000","6,200,000","6,231,000",5530000,5925000,6044000,6195000,7062000,8263000,9585000
ISLANDS OF ADVENTURE ,"5,300,000","5,430,000","5,297,000",4627000,5949000,7674000,7981000,8141000,8141000,8792000
OCEAN PARK,"4,380,000","4,920,000","5,030,000",4800000,5404000,6955000,7436000,7475000,7792000,7387000
LOTTE WORLD,"5,500,000",NA,"4,236,000",4261000,5551000,5780000,6383000,7400000,7606000,7310000
HONG KONG DISNEYLAND,"5,200,000","4,150,000","4,500,000",4600000,5200000,5900000,6700000,7400000,7500000,6800000
EVERLAND,"7,500,000","7,200,000","6,600,000",6169000,6884000,6570000,6853000,7303000,7381000,7423000
UNIVERSAL STUDIOS HOLLYWOOD,"4,700,000","4,700,000","4,583,000",4308000,5040000,5141000,5912000,6148000,6824000,7097000
SONGCHENG PARK,NA,NA,NA,NA,NA,5820000,5850000,4200000,5810000,7289000
NAGASHIMA SPA LAND,"3,910,000","3,910,000","3,734,000",4700000,4465000,5820000,5850000,5840000,5630000,5870000
CHIMELONG OCEAN KINGDOM,NA,NA,NA,NA,NA,NA,NA,NA,5504000,7486000
EUROPA PARK,"3,950,000","4,000,000","4,000,000",4250000,4250000,4500000,4600000,4900000,5000000,5500000
SEAWORLD FL,"5,740,000","5,800,000","5,926,000",5800000,5100000,5202000,5358000,5090000,4683000,4777000
TIVOLI GARDENS,"4,396,000","4,110,000","3,972,000",3870000,3696000,3963000,4033000,4200000,4478000,4733000
DE EFTELING,NA,NA,NA,4000000,4000000,4125000,4200000,4150000,4400000,4680000
WALT DISNEY STUDIOS PARK AT DISNEYLAND PARIS,NA,NA,NA,NA,4500000,4710000,4800000,4470000,4260000,NA
SONGCHENG ROMANCE PARK,NA,NA,NA,NA,NA,NA,NA,NA,1730000,4678000
SEAWORLD ,"4,260,000","4,260,000","4,147,000",4200000,3800000,4294000,4444000,4311000,NA,NA
YOKOHAMA HAKKEIJIMA SEA PARADISE,"5,400,000","4,770,000","4,555,000",4500000,NA,NA,4050000,4149000,NA,NA
BUSCH GARDENS,"4,360,000","4,400,000","4,410,000",4100000,4200000,4284000,4348000,NA,NA,NA
OCT EAST,NA,NA,NA,NA,NA,3890000,4196000,NA,NA,NA
KNOTTS BERRY FARM,NA,NA,"3,565,000",NA,NA,NA,NA,NA,NA,NA
PLEASURE BEACH,NA,"5,500,000",NA,NA,NA,NA,NA,NA,NA,NA
PORT AVENTURA,NA,"3,700,000",NA,NA,NA,NA,NA,NA,NA,NA
BLACKPOOL PLEASURE BEACH,"6,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA
